category,current_price,stock_remaining,weekly_sales,day,month,weekend,recommended_price
Personal Care,471.12,245,15,Sunday,February,1,424.01
Frozen,250.96,296,81,Saturday,January,1,263.51
Beverages,83.11,289,39,Monday,April,0,83.11
Bakery,283.46,214,78,Friday,October,0,297.63
Snacks,390.09,195,58,Thursday,May,0,409.59
Frozen,159.64,318,8,Friday,December,0,143.68
Bakery,474.32,107,81,Tuesday,May,0,498.04
Bakery,86.96,89,71,Monday,March,0,91.31
Dairy,210.17,353,77,Thursday,May,0,220.68
Dairy,123.42,362,37,Saturday,August,1,123.42
Bakery,346.82,474,34,Sunday,November,1,312.14
Snacks,218.32,279,29,Saturday,March,1,218.32
Personal Care,415.05,37,8,Tuesday,May,0,373.55
Personal Care,225.19,240,89,Wednesday,December,0,236.45
Frozen,471.91,257,70,Thursday,August,0,495.51
Bakery,303.04,456,56,Saturday,June,1,303.04
Personal Care,22.67,118,87,Sunday,October,1,25.39
Dairy,499.79,345,106,Wednesday,October,0,559.76
Dairy,383.92,90,61,Friday,November,0,403.12
Fruits,458.88,93,75,Thursday,November,0,481.82
Fruits,484.84,241,45,Thursday,June,0,484.84
Household,338.37,440,21,Wednesday,July,0,304.53
Fruits,151.23,484,52,Sunday,September,1,151.23
Dairy,232.86,162,33,Wednesday,February,0,232.86
Frozen,433.81,423,1,Saturday,September,1,390.43
Fruits,212.49,97,67,Wednesday,October,0,223.11
Fruits,316.45,390,7,Tuesday,May,0,284.81
Vegetables,74.2,148,57,Saturday,August,1,77.91
Bakery,24.15,323,78,Sunday,April,1,25.36
Beverages,162.27,8,71,Thursday,February,0,170.38
Snacks,496.21,468,15,Thursday,February,0,446.59
Beverages,254.2,367,38,Friday,December,0,254.2
Personal Care,213.59,248,61,Tuesday,August,0,224.27
Vegetables,80.87,98,118,Friday,September,0,90.57
Beverages,433.37,142,99,Sunday,July,1,485.37
Household,467.78,260,35,Sunday,January,1,467.78
Personal Care,365.76,429,76,Friday,November,0,384.05
Fruits,433.98,229,69,Thursday,June,0,455.68
Household,280.44,279,49,Thursday,June,0,280.44
Snacks,490.58,123,74,Thursday,April,0,515.11
Frozen,31.39,382,61,Saturday,July,1,31.39
Frozen,494.32,406,106,Saturday,March,1,553.64
Fruits,482.76,65,65,Friday,June,0,506.9
Bakery,438.35,226,13,Friday,August,0,394.52
Dairy,364.0,210,112,Saturday,March,1,407.68
Bakery,240.05,497,34,Wednesday,October,0,216.05
Frozen,328.42,437,43,Sunday,November,1,328.42
Vegetables,196.2,163,81,Saturday,August,1,206.01
Vegetables,27.59,36,31,Saturday,November,1,27.59
Personal Care,498.74,383,12,Thursday,February,0,448.87
Bakery,227.4,356,39,Monday,January,0,227.4
Household,400.11,151,46,Wednesday,July,0,400.11
Beverages,129.66,211,73,Saturday,March,1,136.14
Beverages,95.78,313,112,Thursday,October,0,107.27
Snacks,253.86,299,19,Tuesday,August,0,228.47
Personal Care,235.19,342,2,Sunday,August,1,211.67
Personal Care,342.03,81,10,Thursday,June,0,307.83
Personal Care,323.08,218,89,Wednesday,August,0,339.23
Personal Care,107.62,197,110,Thursday,February,0,120.53
Snacks,196.87,184,74,Wednesday,December,0,206.71
Personal Care,20.75,425,85,Thursday,May,0,21.79
Dairy,287.31,352,100,Saturday,January,1,321.79
Fruits,418.09,463,37,Sunday,April,1,376.28
Household,117.31,98,80,Wednesday,November,0,123.18
Beverages,317.84,463,81,Saturday,January,1,333.73
Personal Care,396.42,18,75,Wednesday,December,0,416.24
Beverages,54.17,152,42,Saturday,July,1,54.17
Beverages,108.39,403,70,Wednesday,September,0,108.39
Vegetables,457.61,426,22,Wednesday,August,0,411.85
Personal Care,375.81,174,103,Monday,August,0,420.91
Bakery,78.97,495,29,Sunday,November,1,71.07
Frozen,483.96,412,72,Wednesday,February,0,508.16
Frozen,16.82,275,16,Thursday,June,0,15.14
Personal Care,296.43,422,82,Wednesday,February,0,311.25
Snacks,241.02,318,114,Friday,June,0,269.94
Snacks,327.35,326,106,Thursday,December,0,366.63
Personal Care,328.13,60,18,Monday,January,0,328.13
Personal Care,498.0,60,13,Tuesday,September,0,448.2
Beverages,200.44,190,86,Saturday,December,1,224.49
Vegetables,215.37,381,94,Tuesday,July,0,226.14
Bakery,418.51,316,53,Wednesday,January,0,418.51
Household,116.46,228,31,Sunday,June,1,116.46
Bakery,490.65,189,70,Saturday,June,1,515.18
Dairy,205.09,98,16,Sunday,August,1,205.09
Bakery,334.76,329,82,Friday,January,0,351.5
Dairy,395.53,125,17,Sunday,October,1,395.53
Snacks,43.62,392,71,Tuesday,October,0,45.8
Snacks,408.4,120,43,Sunday,March,1,408.4
Dairy,145.86,75,17,Friday,May,0,145.86
Beverages,63.86,444,4,Tuesday,January,0,57.47
Household,397.09,122,76,Wednesday,January,0,416.94
Beverages,140.03,65,95,Thursday,September,0,156.83
Bakery,375.38,244,58,Sunday,June,1,394.15
Vegetables,300.9,232,65,Tuesday,October,0,315.94
Dairy,366.35,466,111,Saturday,September,1,410.31
Personal Care,234.44,494,4,Monday,August,0,211.0
Frozen,218.87,56,63,Saturday,August,1,229.81
Bakery,450.64,165,78,Tuesday,February,0,473.17
Beverages,144.76,325,75,Friday,December,0,152.0
Household,196.64,306,68,Wednesday,August,0,206.47
Vegetables,306.66,51,102,Saturday,February,1,343.46
Vegetables,363.21,111,56,Thursday,April,0,381.37
Frozen,176.08,233,52,Thursday,December,0,176.08
Bakery,163.15,161,86,Wednesday,June,0,171.31
Beverages,346.54,243,9,Monday,February,0,311.89
Bakery,221.62,382,95,Wednesday,March,0,232.7
Vegetables,39.39,490,72,Friday,June,0,39.39
Bakery,211.3,448,86,Sunday,July,1,221.87
Dairy,484.52,308,40,Wednesday,February,0,484.52
Vegetables,114.24,337,62,Tuesday,February,0,114.24
Household,424.23,189,15,Sunday,May,1,381.81
Snacks,405.54,433,72,Sunday,October,1,425.82
Vegetables,22.86,476,85,Sunday,December,1,24.0
Personal Care,24.19,140,90,Sunday,May,1,27.09
Household,182.0,93,112,Tuesday,October,0,203.84
Frozen,44.1,380,82,Monday,February,0,46.31
Vegetables,115.42,215,59,Wednesday,March,0,121.19
Household,162.7,167,100,Friday,October,0,182.22
Bakery,442.84,80,21,Sunday,October,1,442.84
Dairy,340.24,140,57,Saturday,July,1,357.25
Fruits,307.47,213,35,Tuesday,September,0,307.47
Bakery,179.13,57,37,Saturday,November,1,179.13
Fruits,268.2,158,6,Tuesday,July,0,241.38
Dairy,13.77,155,28,Sunday,March,1,13.77
Personal Care,151.83,62,1,Thursday,December,0,136.65
Frozen,96.09,195,69,Saturday,April,1,100.89
Vegetables,283.77,343,104,Wednesday,February,0,317.82
Frozen,432.26,22,56,Monday,August,0,453.87
Bakery,432.43,295,55,Friday,July,0,432.43
Frozen,151.86,208,3,Wednesday,March,0,136.67
Fruits,417.69,471,47,Monday,July,0,417.69
Bakery,129.23,302,52,Friday,February,0,129.23
Frozen,436.56,382,44,Tuesday,June,0,436.56
Beverages,47.43,325,15,Friday,September,0,42.69
Snacks,453.9,179,45,Saturday,November,1,453.9
Beverages,125.77,75,33,Tuesday,March,0,125.77
Beverages,382.51,336,10,Tuesday,November,0,344.26
Fruits,237.34,289,98,Friday,August,0,265.82
Household,433.48,322,41,Tuesday,August,0,433.48
Bakery,239.77,324,39,Sunday,May,1,239.77
Dairy,182.45,38,40,Thursday,August,0,182.45
Dairy,37.88,426,37,Monday,November,0,34.09
Bakery,311.35,260,50,Thursday,October,0,311.35
Vegetables,477.57,379,115,Monday,August,0,534.88
Snacks,167.55,244,65,Tuesday,January,0,175.93
Fruits,60.72,461,108,Wednesday,December,0,63.76
Bakery,257.23,89,6,Tuesday,December,0,231.51
Fruits,495.58,269,67,Friday,March,0,520.36
Household,192.7,145,50,Thursday,June,0,192.7
Dairy,396.72,332,43,Monday,June,0,396.72
Bakery,283.4,198,37,Wednesday,December,0,283.4
Beverages,173.35,299,85,Tuesday,June,0,182.02
Personal Care,484.17,358,85,Thursday,March,0,508.38
Bakery,161.7,193,83,Sunday,June,1,169.78
Beverages,338.36,425,95,Saturday,September,1,355.28
Bakery,326.55,217,66,Wednesday,January,0,342.88
Household,161.34,487,28,Wednesday,August,0,145.21
Snacks,121.01,71,20,Monday,May,0,121.01
Bakery,258.77,277,107,Saturday,September,1,289.82
Dairy,334.35,449,99,Friday,March,0,351.07
Frozen,85.58,93,107,Saturday,October,1,95.85
Beverages,363.38,23,53,Wednesday,November,0,381.55
Snacks,485.1,313,37,Sunday,December,1,485.1
Fruits,124.66,123,40,Sunday,August,1,124.66
Snacks,190.24,485,74,Thursday,August,0,190.24
Personal Care,391.28,258,68,Thursday,March,0,410.84
Snacks,402.62,71,112,Wednesday,January,0,450.93
Fruits,438.32,284,120,Monday,December,0,490.92
Vegetables,427.07,146,11,Sunday,March,1,384.36
Personal Care,230.17,263,19,Sunday,July,1,207.15
Bakery,473.74,114,105,Thursday,June,0,530.59
Dairy,213.3,203,65,Wednesday,April,0,223.97
Frozen,497.32,192,29,Monday,June,0,497.32
Bakery,421.2,333,43,Sunday,March,1,421.2
Beverages,28.77,470,107,Thursday,December,0,30.21
Beverages,381.83,241,58,Friday,January,0,381.83
Bakery,19.31,111,107,Tuesday,September,0,21.63
Vegetables,217.39,398,37,Tuesday,May,0,195.65
Bakery,33.4,215,82,Sunday,October,1,35.07
Fruits,40.78,429,116,Thursday,October,0,45.67
Vegetables,18.05,264,74,Tuesday,December,0,18.95
Beverages,152.72,1,79,Wednesday,April,0,171.05
Frozen,101.78,343,11,Friday,June,0,91.6
Bakery,477.17,279,65,Sunday,September,1,501.03
Vegetables,19.96,448,61,Monday,November,0,19.96
Frozen,490.71,130,96,Monday,June,0,549.6
Bakery,178.95,376,85,Saturday,February,1,187.9
Household,75.37,181,70,Wednesday,November,0,79.14
Beverages,416.89,351,60,Saturday,August,1,416.89
Beverages,407.63,33,92,Sunday,August,1,456.55
Dairy,153.79,23,102,Tuesday,January,0,172.24
Household,467.35,264,51,Sunday,September,1,467.35
Fruits,134.12,386,83,Tuesday,May,0,140.83
Household,432.45,25,111,Saturday,June,1,484.34
Personal Care,70.99,189,56,Thursday,December,0,74.54
Fruits,448.37,198,44,Tuesday,August,0,448.37
Fruits,190.0,409,67,Wednesday,February,0,190.0
Frozen,48.67,309,106,Tuesday,September,0,54.51
Personal Care,167.39,41,42,Saturday,May,1,175.76
Personal Care,228.5,368,55,Tuesday,December,0,228.5
Fruits,182.26,22,94,Sunday,June,1,204.13
Frozen,144.53,406,8,Monday,November,0,130.08
Frozen,188.02,411,96,Saturday,March,1,197.42
Dairy,79.96,312,87,Sunday,August,1,83.96
Dairy,71.85,121,100,Saturday,June,1,80.47
Household,197.6,291,5,Friday,March,0,177.84
Fruits,474.92,191,57,Sunday,February,1,498.67
Beverages,269.44,204,41,Saturday,May,1,269.44
Snacks,480.65,14,95,Tuesday,August,0,538.33
Vegetables,199.62,288,16,Wednesday,May,0,179.66
Fruits,115.14,314,37,Saturday,August,1,115.14
Snacks,70.09,437,10,Thursday,March,0,63.08
Fruits,498.66,415,88,Sunday,June,1,523.59
Household,357.67,282,70,Wednesday,May,0,375.55
Beverages,358.79,475,90,Saturday,March,1,376.73
Household,259.29,63,26,Sunday,March,1,259.29
Snacks,397.28,14,47,Friday,October,0,417.14
Household,239.03,283,17,Friday,February,0,215.13
Bakery,161.55,368,93,Thursday,September,0,169.63
Frozen,386.89,422,74,Monday,March,0,406.23
Household,324.75,231,60,Saturday,September,1,340.99
Household,72.88,425,100,Friday,November,0,76.52
Beverages,386.21,67,56,Friday,January,0,405.52
Bakery,263.87,156,22,Tuesday,June,0,263.87
Snacks,179.55,482,67,Wednesday,February,0,179.55
Personal Care,106.19,490,71,Wednesday,March,0,106.19
Personal Care,311.07,48,65,Saturday,March,1,326.62
Beverages,93.89,320,93,Friday,June,0,98.58
Dairy,414.37,15,11,Monday,November,0,372.93
Personal Care,329.05,393,74,Thursday,October,0,345.5
Dairy,254.04,322,70,Wednesday,November,0,266.74
Personal Care,246.64,413,104,Saturday,July,1,276.24
Personal Care,232.24,353,8,Tuesday,August,0,209.02
Frozen,247.28,105,44,Friday,March,0,247.28
Household,432.13,164,94,Sunday,June,1,483.99
Frozen,74.08,190,66,Friday,February,0,77.78
Household,128.45,63,35,Thursday,April,0,128.45
Beverages,57.44,149,50,Sunday,October,1,60.31
Frozen,131.65,444,116,Tuesday,June,0,147.45
Household,103.02,82,64,Friday,August,0,108.17
Fruits,440.75,255,3,Monday,July,0,396.68
Vegetables,234.04,124,28,Friday,June,0,234.04
Dairy,34.76,254,77,Sunday,November,1,36.5
Fruits,150.02,5,109,Monday,July,0,168.02
Beverages,442.4,373,47,Sunday,July,1,442.4
Household,32.17,27,73,Friday,April,0,33.78
Household,281.08,38,50,Friday,August,0,295.13
Vegetables,147.06,320,88,Friday,February,0,154.41
Beverages,487.79,202,48,Sunday,June,1,487.79
Vegetables,470.08,387,19,Tuesday,October,0,423.07
Vegetables,206.68,21,6,Monday,March,0,186.01
Household,403.94,266,59,Tuesday,October,0,403.94
Vegetables,78.49,477,79,Wednesday,March,0,82.41
Frozen,495.4,379,108,Wednesday,October,0,554.85
Household,258.58,261,69,Thursday,December,0,271.51
Personal Care,242.7,9,48,Wednesday,November,0,254.84
Bakery,490.15,299,40,Sunday,December,1,490.15
Dairy,302.49,136,84,Sunday,October,1,338.79
Snacks,363.49,299,62,Tuesday,September,0,363.49
Frozen,82.41,349,32,Monday,October,0,74.17
Bakery,103.48,226,41,Thursday,March,0,103.48
Frozen,348.35,211,65,Sunday,October,1,365.77
Fruits,437.68,377,94,Monday,December,0,459.56
Beverages,264.15,288,42,Saturday,August,1,264.15
Vegetables,194.64,490,23,Thursday,September,0,175.18
Household,277.67,347,99,Sunday,December,1,310.99
Personal Care,308.94,99,32,Wednesday,September,0,308.94
Personal Care,120.18,499,39,Sunday,May,1,108.16
Snacks,348.22,251,41,Thursday,June,0,348.22
Vegetables,467.51,408,93,Wednesday,May,0,490.89
Bakery,291.0,279,49,Thursday,June,0,291.0
Beverages,152.32,148,92,Monday,June,0,170.6
Fruits,331.43,383,62,Tuesday,April,0,331.43
Vegetables,142.86,288,90,Wednesday,March,0,150.0
Bakery,311.68,301,31,Tuesday,January,0,280.51
Vegetables,120.58,120,7,Monday,July,0,108.52
Household,361.51,52,88,Sunday,March,1,404.89
Dairy,482.61,476,21,Thursday,November,0,434.35
Fruits,243.95,103,97,Wednesday,June,0,273.22
Personal Care,326.49,465,99,Monday,November,0,342.81
Snacks,272.22,371,109,Monday,March,0,304.89
Frozen,442.3,91,120,Monday,July,0,495.38
Fruits,101.29,384,112,Wednesday,January,0,113.44
Dairy,156.21,309,14,Wednesday,May,0,140.59
Fruits,494.66,279,68,Thursday,March,0,519.39
Vegetables,239.33,99,104,Monday,June,0,268.05
Beverages,368.25,332,33,Saturday,March,1,368.25
Dairy,370.94,405,38,Friday,November,0,333.85
Snacks,95.99,439,82,Thursday,July,0,100.79
Vegetables,170.68,206,86,Monday,March,0,179.21
Beverages,243.95,480,32,Monday,May,0,219.56
Frozen,125.41,386,35,Wednesday,May,0,112.87
Dairy,138.16,185,89,Tuesday,January,0,154.74
Bakery,238.04,82,52,Saturday,September,1,249.94
Personal Care,348.24,328,118,Wednesday,June,0,390.03
Snacks,117.37,69,62,Tuesday,August,0,123.24
Household,213.76,282,117,Thursday,September,0,239.41
Snacks,383.31,349,97,Friday,February,0,402.48
Vegetables,228.91,361,47,Monday,October,0,228.91
Bakery,40.26,281,116,Friday,April,0,45.09
Vegetables,83.43,168,110,Friday,August,0,93.44
Bakery,343.34,368,75,Thursday,February,0,360.51
Vegetables,228.29,29,59,Tuesday,September,0,239.7
Frozen,233.83,30,72,Thursday,November,0,245.52
Personal Care,364.41,203,33,Sunday,January,1,364.41
Snacks,293.37,24,55,Wednesday,December,0,308.04
Bakery,275.17,31,120,Monday,August,0,308.19
Dairy,150.67,93,99,Tuesday,November,0,168.75
Frozen,193.49,457,49,Thursday,July,0,193.49
Frozen,49.32,494,85,Sunday,September,1,51.79
Beverages,330.23,179,16,Tuesday,September,0,297.21
Frozen,269.13,373,29,Sunday,January,1,242.22
Dairy,489.46,238,87,Saturday,September,1,513.93
Frozen,270.65,422,30,Tuesday,August,0,243.58
Household,86.01,97,120,Saturday,February,1,96.33
Dairy,406.64,215,79,Sunday,January,1,426.97
Snacks,110.98,52,77,Monday,August,0,116.53
Dairy,129.92,23,52,Thursday,April,0,136.42
Vegetables,116.46,443,100,Monday,March,0,122.28
Vegetables,496.81,120,105,Saturday,October,1,556.43
Household,292.96,396,87,Sunday,June,1,307.61
Snacks,157.86,74,85,Friday,April,0,176.8
Frozen,157.25,32,72,Friday,December,0,165.11
Beverages,316.74,219,72,Thursday,January,0,332.58
Household,471.38,344,49,Sunday,September,1,471.38
Household,351.19,210,20,Wednesday,July,0,316.07
Beverages,379.66,243,31,Sunday,April,1,379.66
Personal Care,430.2,74,104,Thursday,January,0,481.82
Vegetables,212.21,214,72,Friday,March,0,222.82
Frozen,129.0,105,43,Saturday,February,1,135.45
Fruits,425.1,48,69,Saturday,April,1,446.36
Dairy,141.55,345,78,Friday,January,0,148.63
Bakery,102.2,390,76,Saturday,November,1,107.31
Vegetables,116.34,107,112,Wednesday,May,0,130.3
Dairy,113.79,98,95,Monday,December,0,127.44
Fruits,458.08,357,78,Saturday,April,1,480.98
Frozen,458.41,283,42,Sunday,May,1,458.41
Frozen,238.46,333,46,Wednesday,May,0,238.46
Household,261.28,255,60,Monday,December,0,274.34
Fruits,383.2,164,118,Tuesday,June,0,429.18
Household,212.83,289,111,Tuesday,December,0,238.37
Beverages,17.95,284,120,Friday,October,0,20.1
Frozen,154.64,101,43,Tuesday,July,0,154.64
Snacks,254.66,336,88,Wednesday,May,0,267.39
Fruits,483.59,329,95,Thursday,August,0,507.77
Beverages,369.06,181,22,Tuesday,December,0,332.15
Vegetables,249.27,470,114,Friday,November,0,279.18
Dairy,266.73,430,109,Monday,November,0,298.74
Dairy,384.53,212,18,Sunday,November,1,346.08
Snacks,43.3,78,2,Tuesday,September,0,38.97
Fruits,192.87,317,82,Saturday,October,1,202.51
Fruits,333.05,9,1,Friday,September,0,299.75
Frozen,15.81,272,93,Wednesday,September,0,16.6
Personal Care,18.4,417,90,Saturday,July,1,19.32
Beverages,62.44,50,68,Tuesday,April,0,65.56
Snacks,313.69,130,105,Wednesday,May,0,351.33
Frozen,48.72,492,52,Thursday,October,0,48.72
Snacks,495.21,116,39,Saturday,February,1,495.21
Dairy,55.82,195,49,Friday,August,0,55.82
Dairy,322.01,360,22,Monday,August,0,289.81
Frozen,326.0,170,73,Sunday,February,1,342.3
Vegetables,460.38,118,28,Sunday,December,1,460.38
Fruits,142.84,474,10,Saturday,May,1,128.56
Vegetables,286.12,17,23,Sunday,June,1,286.12
Dairy,481.12,301,19,Sunday,December,1,433.01
Frozen,465.15,154,21,Friday,April,0,418.63
Frozen,341.75,277,43,Thursday,December,0,341.75
Beverages,397.34,353,93,Monday,September,0,417.21
Household,36.31,224,30,Sunday,February,1,36.31
Household,306.53,315,77,Thursday,June,0,321.86
Dairy,320.72,402,58,Thursday,April,0,320.72
Household,280.99,193,56,Tuesday,November,0,295.04
Frozen,51.99,317,38,Sunday,April,1,51.99
Bakery,50.2,79,49,Saturday,November,1,52.71
Beverages,372.43,163,47,Monday,February,0,372.43
Dairy,472.05,228,47,Sunday,May,1,472.05
Bakery,74.93,96,56,Thursday,September,0,78.68
Vegetables,261.1,53,4,Monday,June,0,234.99
